state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
30300	0.008	0.008	0.008	0	3	2.136	0.026	4.137	23.90	-1137.51	0.00	-7.76
30400	0.007	0.007	0.007	0	3	1.163	0.029	3.897	28.29	-1137.50	0.41	0.00
30500	0.007	0.007	0.007	0	7	1.236	0.029	3.897	31.18	-1138.36	0.00	0.00
30600	0.008	0.008	0.008	0	6	1.800	0.029	3.897	31.20	-1138.20	0.00	0.00
30700	0.005	0.005	0.005	0	11	0.336	0.029	3.897	31.56	-1138.80	0.00	-0.38
30800	0.006	0.006	0.006	0	12	0.197	0.011	3.897	28.64	-1138.89	0.09	0.00
30900	0.008	0.008	0.008	0	11	0.159	0.011	3.897	29.46	-1138.80	0.00	-7.69
31000	0.010	0.010	0.010	0	11	0.499	0.011	3.892	24.56	-1138.80	0.00	-7.48
31100	0.009	0.009	0.009	0	12	0.222	0.011	3.892	29.83	-1138.89	0.00	0.00
31200	0.007	0.007	0.007	0	11	0.090	0.011	3.892	29.10	-1138.80	0.00	0.00
31300	0.008	0.008	0.008	0	11	0.111	0.010	3.892	30.21	-1138.80	0.09	0.00
31400	0.008	0.008	0.008	0	5	0.316	0.005	3.892	35.12	-1138.01	0.00	-0.35
31500	0.007	0.007	0.007	0	6	0.287	0.003	3.909	32.45	-1138.19	-0.18	0.00
31600	0.007	0.007	0.007	0	4	0.954	0.003	3.909	33.54	-1137.79	0.00	-0.30
31700	0.010	0.010	0.010	0	4	0.594	0.002	3.909	27.95	-1137.79	0.29	0.00
31800	0.006	0.006	0.006	0	4	0.898	0.003	3.909	32.53	-1137.79	0.00	-7.98
31900	0.007	0.007	0.007	0	7	0.558	0.007	3.909	32.27	-1138.35	0.00	-7.79
32000	0.007	0.007	0.007	0	8	0.424	0.007	3.939	29.75	-1138.48	0.00	0.00
32100	0.007	0.007	0.007	0	5	0.444	0.003	3.939	33.65	-1138.01	0.18	0.00
32200	0.007	0.007	0.007	0	5	0.310	0.003	3.909	35.73	-1138.01	-0.18	0.00
32300	0.008	0.008	0.008	0	3	0.412	0.001	3.987	29.53	-1137.50	0.00	-7.71
32400	0.009	0.009	0.009	0	4	0.101	0.001	4.005	26.54	-1137.79	0.00	0.00
32500	0.015	0.015	0.015	0	3	1.084	0.001	4.005	24.06	-1137.50	0.41	0.00
32600	0.009	0.009	0.009	0	3	0.396	0.000	4.058	28.68	-1137.50	0.00	0.00
32700	0.013	0.013	0.013	0	5	0.861	0.000	3.902	26.35	-1138.02	0.00	0.00
32800	0.009	0.707	0.009	1	5	1.388	0.001	3.902	25.76	-1138.38	-0.00	0.42
32900	0.009	0.707	0.009	1	4	1.114	0.000	3.902	33.02	-1138.16	-0.06	0.00
33000	0.007	0.007	0.007	0	6	2.573	0.056	3.902	30.68	-1138.21	-0.00	0.00
33100	0.005	0.005	0.005	0	6	2.036	0.047	3.902	31.29	-1138.21	0.00	0.00
33200	0.008	0.008	0.008	0	7	4.663	0.031	3.902	24.81	-1138.38	0.00	0.00
33300	0.007	0.007	0.007	0	7	9.277	0.029	3.843	23.09	-1138.42	0.00	0.00
33400	0.008	0.008	0.008	0	7	7.337	0.029	3.843	25.30	-1138.40	-0.00	0.00
33500	0.006	0.006	0.006	0	5	4.192	0.029	3.843	24.23	-1138.03	-0.23	0.00
33600	0.009	0.009	0.009	0	4	1.543	0.022	3.843	27.62	-1137.79	0.00	0.00
33700	0.008	0.008	0.008	0	4	4.124	0.022	3.843	26.68	-1137.81	0.00	-7.65
33800	0.006	0.006	0.006	0	4	2.236	0.044	3.843	25.42	-1137.80	0.00	0.00
33900	0.012	0.012	0.012	0	4	4.230	0.028	3.843	24.76	-1137.81	0.00	0.00
34000	0.008	0.008	0.008	0	4	0.830	0.028	3.843	27.42	-1137.79	-0.22	0.00
34100	0.010	0.010	0.010	0	6	1.058	0.022	3.843	24.81	-1138.20	0.00	0.00
34200	0.010	0.010	0.010	0	4	1.121	0.029	4.017	26.20	-1137.79	0.00	0.00
34300	0.007	0.007	0.007	0	5	2.004	0.037	3.861	28.00	-1138.02	0.00	-7.87
34400	0.012	0.012	0.012	0	7	1.515	0.025	3.861	25.00	-1138.36	-0.14	0.00
34500	0.010	0.010	0.010	0	4	3.979	0.024	3.913	26.53	-1137.81	-0.01	0.29
34600	0.008	0.008	0.008	0	5	2.380	0.010	3.913	31.18	-1138.02	0.00	-0.17
34700	0.009	0.009	0.009	0	5	3.966	0.010	3.913	30.26	-1138.03	0.00	0.00
34800	0.005	0.005	0.005	0	6	6.082	0.010	3.913	25.48	-1138.23	0.00	0.00
34900	0.006	0.006	0.006	0	7	7.243	0.010	3.800	28.40	-1138.40	0.16	0.00
35000	0.006	0.006	0.006	0	5	6.418	0.048	3.795	28.52	-1138.05	0.00	0.00
35100	0.005	0.005	0.005	0	5	3.084	0.051	3.795	28.57	-1138.03	0.00	0.00
35200	0.007	0.007	0.007	0	6	2.943	0.051	3.795	28.77	-1138.21	-0.16	0.00
35300	0.006	0.006	0.006	0	5	5.231	0.043	3.948	29.10	-1138.04	0.00	0.00
35400	0.005	0.005	0.005	0	5	2.654	0.043	3.948	29.78	-1138.02	0.00	0.00
35500	0.006	0.006	0.006	0	5	3.271	0.034	3.948	30.27	-1138.03	-0.01	0.32
35600	0.006	0.006	0.006	0	5	6.746	0.035	3.948	29.03	-1138.05	0.00	-7.92
35700	0.007	0.007	0.007	0	5	5.878	0.033	3.936	29.54	-1138.04	0.00	0.00
35800	0.006	0.006	0.006	0	5	15.582	0.031	4.059	24.03	-1138.10	0.00	0.00
35900	0.008	0.008	0.008	0	5	6.095	0.039	3.856	28.83	-1138.05	0.00	-7.66
36000	0.006	0.006	0.006	0	6	2.434	0.025	3.856	29.82	-1138.21	0.00	-0.40
36100	0.006	0.006	0.006	0	8	0.790	0.033	3.856	28.38	-1138.49	-0.12	0.00
36200	0.010	0.010	0.010	0	11	0.499	0.033	3.856	25.11	-1138.80	-0.00	0.00
36300	0.006	0.006	0.006	0	7	0.287	0.033	3.856	33.35	-1138.35	0.00	0.00
36400	0.007	0.007	0.007	0	8	0.200	0.033	3.816	30.77	-1138.48	0.00	-7.88
36500	0.006	0.006	0.006	0	13	0.216	0.034	3.816	30.86	-1138.97	0.00	0.00
36600	0.009	0.009	0.009	0	16	0.167	0.016	3.998	25.76	-1139.18	0.00	-7.58
36700	0.007	0.007	0.007	0	21	0.097	0.010	3.979	27.35	-1139.45	-0.01	0.00
36800	0.006	0.006	0.006	0	21	0.152	0.010	4.014	28.21	-1139.45	0.05	0.00
36900	0.009	0.009	0.009	0	17	0.093	0.010	3.962	26.69	-1139.23	0.00	-7.55
37000	0.008	0.008	0.008	0	19	0.172	0.007	4.045	23.66	-1139.35	0.05	0.00
37100	0.005	0.005	0.005	0	19	0.111	0.008	3.740	32.43	-1139.35	0.00	0.00
37200	0.005	0.005	0.005	0	22	0.069	0.007	3.939	31.62	-1139.49	-0.00	0.00
37300	0.005	0.005	0.005	0	17	0.139	0.007	3.939	35.85	-1139.24	0.00	0.00
37400	0.005	0.005	0.005	0	19	0.122	0.010	3.829	39.33	-1139.35	0.00	-8.16
37500	0.004	0.004	0.004	0	20	0.120	0.016	3.946	43.56	-1139.40	-0.05	0.00
37600	0.004	0.004	0.004	0	17	0.070	0.016	3.946	34.93	-1139.23	0.00	-8.31
37700	0.005	0.005	0.005	0	19	0.131	0.016	3.946	34.65	-1139.35	-0.00	0.00
